[18:42:12] [INFO] received Windows console close event; shutting log-core down
[19:21:44] [INFO] received Windows console close event; shutting log-core down
[20:32:12] [INFO] received Windows console close event; shutting log-core down
[20:33:38] [INFO] received Windows console close event; shutting log-core down
[20:50:57] [INFO] received Windows console close event; shutting log-core down
[21:21:06] [INFO] received Windows console close event; shutting log-core down
[21:36:22] [INFO] received Windows console close event; shutting log-core down
[21:39:43] [INFO] received Windows console close event; shutting log-core down
[21:50:18] [INFO] received Windows console close event; shutting log-core down
[21:50:48] [INFO] received Windows console close event; shutting log-core down
[21:54:06] [INFO] received Windows console close event; shutting log-core down
[21:55:33] [INFO] received Windows console close event; shutting log-core down
[22:03:51] [INFO] received Windows console close event; shutting log-core down
[22:18:04] [INFO] received Windows console close event; shutting log-core down
[22:22:41] [INFO] received Windows console close event; shutting log-core down
[22:30:32] [INFO] received Windows console close event; shutting log-core down
[22:36:30] [INFO] received Windows console close event; shutting log-core down
[13:57:44] [INFO] received Windows console close event; shutting log-core down
[14:01:46] [INFO] received Windows console close event; shutting log-core down
[15:01:14] [INFO] received Windows console close event; shutting log-core down
[15:02:12] [INFO] received Windows console close event; shutting log-core down
[15:04:08] [INFO] received Windows console close event; shutting log-core down
[16:02:39] [INFO] received Windows console close event; shutting log-core down
[16:05:45] [INFO] received Windows console close event; shutting log-core down
[16:12:14] [INFO] received Windows console close event; shutting log-core down
[16:25:44] [INFO] received Windows console close event; shutting log-core down
[16:37:14] [INFO] received Windows console close event; shutting log-core down
[17:01:08] [INFO] received Windows console close event; shutting log-core down
[17:08:21] [INFO] received Windows console close event; shutting log-core down
[17:31:28] [INFO] received Windows console close event; shutting log-core down
[17:33:50] [INFO] received Windows console close event; shutting log-core down
[17:35:24] [INFO] received Windows console close event; shutting log-core down
[17:36:40] [INFO] received Windows console close event; shutting log-core down
[18:53:36] [INFO] received Windows console close event; shutting log-core down
[19:07:34] [INFO] received Windows console close event; shutting log-core down
[19:36:38] [INFO] received Windows console close event; shutting log-core down
[19:46:08] [INFO] received Windows console close event; shutting log-core down
[20:00:23] [INFO] received Windows console close event; shutting log-core down
[20:16:01] [INFO] received Windows console close event; shutting log-core down
[20:25:21] [INFO] received Windows console close event; shutting log-core down
[20:41:00] [INFO] received Windows console close event; shutting log-core down
[20:42:15] [INFO] received Windows console close event; shutting log-core down
[20:45:52] [INFO] received Windows console close event; shutting log-core down
[20:47:06] [INFO] received Windows console close event; shutting log-core down
[21:02:53] [INFO] received Windows console close event; shutting log-core down
[21:06:55] [INFO] received Windows console close event; shutting log-core down
[21:08:15] [INFO] received Windows console close event; shutting log-core down
[21:09:37] [INFO] received Windows console close event; shutting log-core down
[21:16:05] [INFO] received Windows console close event; shutting log-core down
[21:26:56] [INFO] received Windows console close event; shutting log-core down
[21:27:31] [INFO] received Windows console close event; shutting log-core down
[21:32:17] [INFO] received Windows console close event; shutting log-core down
[21:57:45] [INFO] received Windows console close event; shutting log-core down
[21:58:45] [INFO] received Windows console close event; shutting log-core down
[22:00:45] [INFO] received Windows console close event; shutting log-core down
